id	loan_doc_id	from_ac_id	to_ac_id	amount	txn_type	txn_id	txn_mode	txn_exec_by	txn_date	remarks	created_by	updated_by	created_at	updated_at
41051	CCA-186085-83835	1783	1578	2000000.00	disbursal	plntJcwN	wallet_portal	1486	2020-11-19 00:00:00	NULL	18	NULL	2020-11-19 14:28:34	NULL
41056	CCA-657376-64629	1783	1726	1000000.00	disbursal	FQmWrL9S	wallet_portal	1486	2020-11-19 00:00:00	NULL	18	NULL	2020-11-19 14:32:19	NULL
41057	CCA-657376-64629	1783	1726	1000000.00	disbursal	FQmWrL9S	wallet_portal	1486	2020-11-19 00:00:00	NULL	18	NULL	2020-11-19 14:32:19	NULL
41660	CCA-342080-87075	1783	2280	1000000.00	disbursal	jllAISpw	wallet_portal	1173	2020-11-23 00:00:00	NULL	13	NULL	2020-11-23 14:56:30	NULL
41694	CCA-315050-56106	1783	1543	3000000.00	disbursal	78Gtk7PYLCCfPyvA	wallet_portal	1173	2020-11-23 00:00:00	78Gtk7PY, LCCfPyvA	13	NULL	2020-11-23 15:30:12	NULL
41749	CCA-219097-55184	1783	2379	500000.00	disbursal	yh7DurtK	wallet_portal	1487	2020-11-23 00:00:00	NULL	19	NULL	2020-11-23 17:40:44	NULL
41750	CCA-219097-55184	1783	2379	500000.00	disbursal	yh7DurtK	wallet_portal	1487	2020-11-23 00:00:00	NULL	19	NULL	2020-11-23 17:40:44	NULL
41891	CCA-274733-45178	1783	1410	3000000.00	disbursal	mvGwz5pfnIYVx6fp	wallet_portal	1173	2020-11-24 00:00:00	mvGwz5pf/ nIYVx6fp	13	NULL	2020-11-24 16:37:41	NULL
41955	CCA-392356-32120	1783	1477	2000000.00	disbursal	Uddqrd4W	wallet_portal	1173	2020-11-24 00:00:00	NULL	13	NULL	2020-11-24 17:14:59	NULL
42013	CCA-790166-83501	1783	1764	1500000.00	disbursal	DTu3m3xb	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 17:43:05	NULL
42014	CCA-790166-83501	1783	1764	1500000.00	disbursal	DTu3m3xb	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 17:43:13	NULL
42033	CCA-474272-62969	1783	1710	3000000.00	disbursal	mzI3SqB7vsu55TFB	wallet_portal	1486	2020-11-24 00:00:00	mzI3SqB7/ vsu55TFB	18	NULL	2020-11-24 17:49:46	NULL
42075	CCA-537045-41762	1783	2240	500000.00	disbursal	TgeLwAY5	wallet_portal	1486	2020-11-25 00:00:00	NULL	18	NULL	2020-11-25 09:20:00	NULL
42285	CCA-276263-47722	1783	2410	500000.00	disbursal	5dG9RXye	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:31:37	NULL
42288	CCA-791190-19669	1783	2407	500000.00	disbursal	dzJt8X4H	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:45:21	NULL
42289	CCA-791190-19669	1783	2407	500000.00	disbursal	dzJt8X4H	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:45:30	NULL
42290	CCA-791190-19669	1783	2407	500000.00	disbursal	dzJt8X4H	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:45:31	NULL
42297	CCA-876439-34729	1783	2406	500000.00	disbursal	qxPb1MIG	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:52:05	NULL
