id	loan_doc_id	from_ac_id	to_ac_id	amount	txn_type	txn_id	txn_mode	txn_exec_by	txn_date	remarks	created_by	updated_by	created_at	updated_at
41626	CCA-708123-62330	NULL	1783	3055000.00	payment	w3KRTeSt9heesD6z	wallet_portal	1486	2020-11-23 00:00:00	w3KRTeSt/ 9heesD6z	18	NULL	2020-11-23 13:36:37	NULL
41657	CCA-969056-93134	NULL	1783	1022000.00	payment	CrbMMzZU	wallet_portal	1486	2020-11-23 00:00:00	NULL	18	NULL	2020-11-23 14:55:54	NULL
41661	CCA-542301-58525	NULL	1783	2038000.00	payment	n41xp3wJZFRxNsBx	wallet_portal	1486	2020-11-23 00:00:00	n41xp3wJ/ ZFRxNsBx	18	NULL	2020-11-23 14:56:36	NULL
41683	CCA-513743-16827	NULL	1783	1022000.00	payment	YBjKircf	wallet_portal	1486	2020-11-23 00:00:00	NULL	18	NULL	2020-11-23 15:24:13	NULL
41687	CCA-803560-13847	NULL	1783	3055000.00	payment	n1fV8SPUKpvr4YZW	wallet_portal	1486	2020-11-23 00:00:00	n1fV8SPU/ Kpvr4YZW	18	NULL	2020-11-23 15:26:08	NULL
41693	CCA-999353-93892	NULL	1783	512000.00	payment	NZSHi94y	wallet_portal	1486	2020-11-23 00:00:00	NULL	18	NULL	2020-11-23 15:30:05	NULL
41807	CCA-422869-13122	NULL	1783	1022000.00	payment	AtrrGGQx	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 12:36:19	NULL
41835	CCA-413637-11808	NULL	1783	767000.00	payment	bxVR6cep	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 15:05:13	NULL
41899	CCA-635833-42605	NULL	1783	2038000.00	payment	IqMAf2zpAcmLXNJD	wallet_portal	1486	2020-11-24 00:00:00	IqMAf2zp/ AcmLXNJD	18	NULL	2020-11-24 16:45:40	NULL
41918	CCA-234716-50429	NULL	1783	1022000.00	payment	clG6Q2UZ	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 17:01:19	NULL
41922	CCA-392356-68670	NULL	1783	2038000.00	payment	JHh2Be8s8WD4DLvM	wallet_portal	1486	2020-11-24 00:00:00	JHh2Be8s/ 8WD4DLvM	18	NULL	2020-11-24 17:02:44	NULL
41928	CCA-722494-27419	NULL	1783	1022000.00	payment	e59W9XNA	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 17:05:16	NULL
41930	CCA-497190-39284	NULL	1783	1022000.00	payment	r7kT7v4U	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 17:06:18	NULL
41931	CCA-497190-39284	NULL	1783	1022000.00	payment	r7kT7v4U	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 17:06:18	NULL
41938	CCA-151433-41966	NULL	1783	1022000.00	payment	34qjNfcY	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 17:08:24	NULL
42019	UEZM-719135-90684	NULL	3	2038000.00	payment	87552080	wallet_portal	1173	2020-11-24 00:00:00	NULL	13	NULL	2020-11-24 17:45:10	NULL
42026	UEZM-387744-63003	NULL	1688	1532000.00	payment	11711008	wallet_transfer	eve	2020-11-24 00:00:00	NULL	13	NULL	2020-11-24 17:47:15	NULL
42581	CCA-912380-74306	NULL	1783	1022000.00	payment	LENCe39V	wallet_portal	1486	2020-11-28 00:00:00	NULL	18	NULL	2020-11-28 16:05:28	NULL
42713	CCA-716662-85455	NULL	1783	767000.00	payment	tlejh2Kz	wallet_portal	1486	2020-11-28 00:00:00	NULL	18	NULL	2020-11-29 13:19:37	NULL
42850	CCA-323211-60898	NULL	1783	1022000.00	payment	RdFGpZIj	wallet_portal	1486	2020-11-28 00:00:00	NULL	18	NULL	2020-11-30 12:05:18	NULL
43229	CCA-274733-45178	NULL	1783	3055000.00	payment	IkjQwJyewcnqxPd4	wallet_portal	1486	2020-12-01 00:00:00	IkjQwJye/ wcnqxPd4	18	NULL	2020-12-02 11:46:23	NULL
43786	CCA-494361-95829	NULL	1783	512000.00	payment	TV5EmZj1	wallet_portal	1486	2020-12-04 00:00:00	NULL	18	NULL	2020-12-04 14:22:00	NULL
43821	UEZM-794042-46013	NULL	1688	4070000.00	payment	97889863	wallet_transfer	mesco	2020-12-04 00:00:00	NULL	13	NULL	2020-12-04 16:40:19	NULL
43926	CCA-266792-43245	NULL	1783	1022000.00	payment	sFdkHIvU	wallet_portal	1486	2020-12-05 00:00:00	NULL	18	NULL	2020-12-05 11:25:53	NULL
44190	CCA-199731-67741	NULL	1783	1022000.00	payment	lSHk7PFX	wallet_portal	1486	2020-12-07 00:00:00	NULL	18	NULL	2020-12-07 07:53:23	NULL
44198	CCA-864979-90250	NULL	1783	1022000.00	payment	ddJqt1uy	wallet_portal	1486	2020-12-07 00:00:00	NULL	18	NULL	2020-12-07 08:32:10	NULL
44200	CCA-447429-16106	NULL	1783	512000.00	payment	5HBEqpAX	wallet_portal	1486	2020-12-07 00:00:00	NULL	18	NULL	2020-12-07 08:34:54	NULL
44347	CCA-400660-65266	NULL	1783	3055000.00	payment	Bdv7tNH6lLGw1Yq5	wallet_portal	1486	2020-12-07 00:00:00	Bdv7tNH6/ lLGw1Yq5	18	NULL	2020-12-07 12:26:19	NULL
44355	CCA-591625-76704	NULL	1783	1022000.00	payment	QUD9UB3F	wallet_portal	1486	2020-12-07 00:00:00	NULL	18	NULL	2020-12-07 12:33:51	NULL
44360	CCA-968107-88262	NULL	1783	512000.00	payment	eeGVLCSv	wallet_portal	1486	2020-12-07 00:00:00	NULL	18	NULL	2020-12-07 12:39:16	NULL
44492	UEZM-740881-44262	NULL	1688	512000.00	payment	65482681	wallet_transfer	1173	2020-12-07 00:00:00	NULL	13	NULL	2020-12-07 16:37:22	NULL
44664	CCA-274733-61051	NULL	1783	3055000.00	payment	C9Wg9q1ukylSqeiG	wallet_portal	1486	2020-12-08 00:00:00	C9Wg9q1u/kylSqeiG	18	NULL	2020-12-08 11:43:30	NULL
44773	CCA-596455-79942	NULL	1783	1022000.00	payment	nD2xlBSp	wallet_portal	1486	2020-12-08 00:00:00	NULL	18	NULL	2020-12-08 14:23:52	NULL
44775	CCA-781906-60029	NULL	1783	1022000.00	payment	Q2gtYbb1	wallet_portal	1486	2020-12-08 00:00:00	NULL	18	NULL	2020-12-08 14:26:06	NULL
44780	CCA-784618-62108	NULL	1783	512000.00	payment	Xxe7p15W	wallet_portal	1486	2020-12-08 00:00:00	NULL	18	NULL	2020-12-08 14:27:49	NULL
44781	CCA-784618-62108	NULL	1783	512000.00	payment	Xxe7p15W	wallet_portal	1486	2020-12-08 00:00:00	NULL	18	NULL	2020-12-08 14:27:59	NULL
44788	CCA-796615-39107	NULL	1783	767000.00	payment	GEeCBkzF	wallet_portal	1486	2020-12-08 00:00:00	NULL	18	NULL	2020-12-08 14:50:29	NULL
44792	CCA-725271-83379	NULL	1783	2038000.00	payment	5DjPijerbEIBTz61	wallet_portal	1486	2020-12-08 00:00:00	5DjPijer/bEIBTz61	18	NULL	2020-12-08 15:03:09	NULL
44950	CCA-114406-53529	NULL	1783	512000.00	payment	QxSgnge2	wallet_portal	1486	2020-12-09 00:00:00	NULL	18	NULL	2020-12-09 14:55:16	NULL
44955	CCA-561368-27067	NULL	1783	3055000.00	payment	NeqCi4FCbsYQN9Yw	wallet_portal	1486	2020-12-09 00:00:00	NeqCi4FC/bsYQN9Yw	18	NULL	2020-12-09 15:06:18	NULL
44968	CCA-333002-41621	NULL	1783	1022000.00	payment	xKxVLBer	wallet_portal	1486	2020-12-09 00:00:00	NULL	18	NULL	2020-12-09 15:31:08	NULL
45384	CCA-452237-50810	NULL	1783	1022000.00	payment	5Eu3MP6y	wallet_portal	1486	2020-12-10 00:00:00	NULL	18	NULL	2020-12-10 18:20:39	NULL
45739	CCA-137917-91302	NULL	1783	512000.00	payment	SizhNAH7	wallet_portal	1486	2020-12-12 00:00:00	NULL	18	NULL	2020-12-12 16:11:49	NULL
46172	CCA-132050-45514	NULL	1783	767000.00	payment	ijPMQb5l	wallet_portal	1486	2020-12-15 00:00:00	NULL	18	NULL	2020-12-15 12:53:40	NULL
46868	CCA-905125-91134	NULL	1783	512000.00	payment	nkJnSqW6	wallet_portal	1486	2020-12-18 00:00:00	NULL	18	NULL	2020-12-18 12:00:58	NULL
47092	CCA-339193-28416	NULL	1783	512000.00	payment	zbyGYzTp	wallet_portal	1486	2020-12-19 00:00:00	NULL	18	NULL	2020-12-19 10:32:20	NULL
47316	CCA-140054-50844	NULL	1783	3055000.00	payment	qpg5SKjYhpJwGJgQ	wallet_portal	1486	2020-12-21 00:00:00	qpg5SKjY/hpJwGJgQ	18	NULL	2020-12-21 11:31:15	NULL
47829	UEZM-379250-50359	NULL	3	5085000.00	payment	89096290	wallet_portal	1173	2020-12-23 00:00:00	NULL	13	NULL	2020-12-23 14:21:46	NULL
47832	UEZM-719135-93851	NULL	3	2038000.00	payment	89096456	wallet_portal	1173	2020-12-23 00:00:00	NULL	13	NULL	2020-12-23 14:24:17	NULL
48208	CCA-981474-23011	NULL	1783	512000.00	payment	GcZq6fgw	wallet_portal	2204	2020-12-28 00:00:00	NULL	26	NULL	2020-12-28 12:19:13	NULL
48407	CCA-823474-91120	NULL	1783	1022000.00	payment	kZwCj1k7	wallet_portal	2204	2020-12-29 00:00:00	NULL	26	NULL	2020-12-29 11:14:21	NULL
48431	CCA-381551-86678	NULL	1783	1022000.00	payment	JIUhgpqc	wallet_portal	2204	2020-12-29 00:00:00	NULL	26	NULL	2020-12-29 11:41:57	NULL
48460	UEZM-805617-77943	NULL	1688	1532000.00	payment	36696166	wallet_transfer	1173	2020-12-29 00:00:00	NULL	13	NULL	2020-12-29 12:09:49	NULL
48471	CCA-907202-74185	NULL	1783	1022000.00	payment	N86Nhnw9	wallet_portal	2204	2020-12-29 00:00:00	NULL	26	NULL	2020-12-29 12:27:31	NULL
48472	CCA-907202-74185	NULL	1783	1022000.00	payment	N86Nhnw9	wallet_portal	2204	2020-12-29 00:00:00	NULL	26	NULL	2020-12-29 12:27:40	NULL
